feature,importance
worst concave points,0.12905091097151702
worst radius,0.11376636086881596
mean perimeter,0.09603749326126564
worst area,0.08835270043630163
mean concave points,0.08158643754694411
mean concavity,0.07693575834687026
worst perimeter,0.06786209362675259
mean radius,0.04752190031196092
worst concavity,0.04614915262475761
area error,0.03847197963024413
mean area,0.03633703611873406
radius error,0.02608267766806347
worst compactness,0.020927345687336892
mean compactness,0.018974248051218057
worst texture,0.01705832158436073
perimeter error,0.013996595362222036
worst smoothness,0.011946052745830995
worst symmetry,0.00868890043425619
mean texture,0.008440570467473816
texture error,0.006595566957968335
mean symmetry,0.006103526390237034
mean fractal dimension,0.005874154796238328
mean smoothness,0.005043040330618809
fractal dimension error,0.004898087263410005
compactness error,0.0048917897037682595
worst fractal dimension,0.0044565254267707076
symmetry error,0.0037076318518469344
concavity error,0.003651492591233746
smoothness error,0.003372914175635573
concave points error,0.0032187347673459767
